requirement_id,id_number,summary,text,context,verification,actor,conformance,conditional,source
REQ-001,1,USCoreCareplanStatus SearchParameter shall not be used for search,"""It SHALL NOT be used as a search parameter for search.""","The USCoreCareplanStatus SearchParameter is defined only to document Server and Client expectations and uses conformance expectation extensions, but must not be used as an actual search parameter",Test,Servers and Clients,SHALL NOT,False,SearchParameter-us-core-careplan-status.md
REQ-002,2,Servers and Clients should use standard FHIR SearchParameter for care plan status,"""Servers and Clients SHOULD use the standard FHIR SearchParameter.""","When implementing search functionality for care plan status, the standard FHIR SearchParameter should be used instead of the US Core specific one",Test,Servers and Clients,SHOULD,False,SearchParameter-us-core-careplan-status.md
REQ-003,3,USCorePatientFamily SearchParameter shall not be used for search,"""It SHALL NOT be used as a search parameter for search.""","The USCorePatientFamily SearchParameter is defined only to document Server and Client expectations and uses conformance expectation extensions, but must not be used as an actual search parameter",Test,Servers and Clients,SHALL NOT,False,SearchParameter-us-core-patient-family.md
REQ-004,4,Servers and Clients should use standard FHIR SearchParameter for patient family name,"""Servers and Clients SHOULD use the standard FHIR SearchParameter.""","When implementing search functionality for patient family name, the standard FHIR SearchParameter should be used instead of the US Core specific one",Test,Servers and Clients,SHOULD,False,SearchParameter-us-core-patient-family.md
REQ-005,5,DiagnosticReport status search parameter shall support multiple OR values,"""multipleOr : True (Conformance Expectation = SHALL)""",The USCoreDiagnosticreportStatus search parameter must support multiple OR values when searching for DiagnosticReport resources by status.,Test,FHIR implementations supporting USCoreDiagnosticreportStatus,SHALL,False,SearchParameter-us-core-diagnosticreport-status.md
REQ-006,6,MedicationDispense type search parameter shall support multiple OR values,"""multipleOr : True (Conformance Expectation = SHALL)""",The USCoreMedicationdispenseType search parameter must support multiple OR values when searching for MedicationDispense resources by type.,Test,FHIR implementations supporting USCoreMedicationdispenseType,SHALL,False,SearchParameter-us-core-medicationdispense-type.md
REQ-007,7,DocumentReference status search SHALL support multiple OR values,"""multipleOr : True (Conformance Expectation = SHALL)""",US Core DocumentReference status SearchParameter conformance expectations for supporting multiple OR search values,Test,Servers implementing US Core DocumentReference SearchParameter,SHALL,False,SearchParameter us-core-documentreference-status
REQ-008,8,DocumentReference status search MAY support multiple AND values,"""multipleAnd : True ( Conformance Expectation = MAY)""",US Core DocumentReference status SearchParameter conformance expectations for supporting multiple AND search values,Test,Servers implementing US Core DocumentReference SearchParameter,MAY,False,SearchParameter us-core-documentreference-status
REQ-009,9,RelatedPerson patient search MAY support multiple OR values,"""multipleOr : True (Conformance Expectation = MAY)""",US Core RelatedPerson patient SearchParameter conformance expectations for supporting multiple OR search values,Test,Servers implementing US Core RelatedPerson SearchParameter,MAY,False,SearchParameter us-core-relatedperson-patient
REQ-010,10,RelatedPerson patient search MAY support multiple AND values,"""multipleAnd : True ( Conformance Expectation = MAY)""",US Core RelatedPerson patient SearchParameter conformance expectations for supporting multiple AND search values,Test,Servers implementing US Core RelatedPerson SearchParameter,MAY,False,SearchParameter us-core-relatedperson-patient
REQ-011,11,Encounter type search MAY support multiple OR values,"""multipleOr : True (Conformance Expectation = MAY)""",US Core Encounter type SearchParameter conformance expectations for supporting multiple OR search values,Test,Servers implementing US Core Encounter SearchParameter,MAY,False,SearchParameter us-core-encounter-type
